,localizedRuleName,urlBlocks,ruleImpact
AvoidLandingPageRedirects,Avoid landing page redirects,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/AvoidRedirects'}], u'format': u'Your page has no redirects. Learn more about avoiding landing page redirects.'}}]",0.0
EnableGzipCompression,Enable compression,"[{u'header': {u'format': u'Compressing resources with gzip or deflate can reduce the number of bytes sent over the network.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/EnableCompression'}, {u'type': u'BYTES', u'value': u'1.7KiB'}, {u'type': u'PERCENTAGE', u'value': u'49%'}], u'format': u'Enable compression for the following resources to reduce their transfer size by $2 ($3 reduction).'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'https://gsk.baycloud.com/CookieQ/cqd?hN=www.panadol.com.sg/&prot=http:&_cqcat=null&hasLS=true&pP=no'}, {u'type': u'BYTES', u'value': u'821B'}, {u'type': u'PERCENTAGE', u'value': u'59%'}], u'format': u'Compressing $1 could save $2 ($3 reduction).'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'http://nexus.ensighten.com/gsk/prod/code/1cc249ac88c0fd5f3400827241a609ca.js?conditionId0=461872'}, {u'type': u'BYTES', u'value': u'287B'}, {u'type': u'PERCENTAGE', u'value': u'45%'}], u'format': u'Compressing $1 could save $2 ($3 reduction).'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'http://nexus.ensighten.com/gsk/prod/serverComponent.php?r=14.881141134537756&ClientID=811&PageID=http%3A%2F%2Fwww.panadol.com.sg%2F'}, {u'type': u'BYTES', u'value': u'262B'}, {u'type': u'PERCENTAGE', u'value': u'46%'}], u'format': u'Compressing $1 could save $2 ($3 reduction).'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'http://nexus.ensighten.com/gsk/prod/code/59d9c9da5fc69428c25f40556ec74f41.js?conditionId0=2906305'}, {u'type': u'BYTES', u'value': u'238B'}, {u'type': u'PERCENTAGE', u'value': u'39%'}], u'format': u'Compressing $1 could save $2 ($3 reduction).'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'http://nexus.ensighten.com/gsk/prod/code/572494ac3d2e1d0dd2390ea6de69d6a9.js?conditionId0=647892'}, {u'type': u'BYTES', u'value': u'179B'}, {u'type': u'PERCENTAGE', u'value': u'37%'}], u'format': u'Compressing $1 could save $2 ($3 reduction).'}}]}]",0.17870000000000003
LeverageBrowserCaching,Leverage browser caching,"[{u'header': {u'format': u'Setting an expiry date or a maximum age in the HTTP headers for static resources instructs the browser to load previously downloaded resources from local disk rather than over the network.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/LeverageBrowserCaching'}], u'format': u'Leverage browser caching for the following cacheable resources:'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'http://m.addthisedge.com/live/boost/ra-56796a1bbe387cb5/_ate.track.config_resp'}, {u'type': u'DURATION', u'value': u'44 seconds'}], u'format': u'$1 ($2)'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'http://nexus.ensighten.com/gsk/Bootstrap.js'}, {u'type': u'DURATION', u'value': u'5 minutes'}], u'format': u'$1 ($2)'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'http://s7.addthis.com/js/300/addthis_widget.js'}, {u'type': u'DURATION', u'value': u'10 minutes'}], u'format': u'$1 ($2)'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://static.doubleclick.net/instream/ad_status.js'}, {u'type': u'DURATION', u'value': u'15 minutes'}], u'format': u'$1 ($2)'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'http://www.google-analytics.com/analytics.js'}, {u'type': u'DURATION', u'value': u'2 hours'}], u'format': u'$1 ($2)'}}]}]",2.395324074074074
MainResourceServerResponseTime,Reduce server response time,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/Server'}], u'format': u'Your server responded quickly. Learn more about server response time optimization.'}}]",0.0
MinifyCss,Minify CSS,"[{u'header': {u'format': u'Compacting CSS code can save many bytes of data and speed up download and parse times.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/MinifyResources'}, {u'type': u'BYTES', u'value': u'6.8KiB'}, {u'type': u'PERCENTAGE', u'value': u'26%'}], u'format': u'Minify CSS for the following resources to reduce their size by $2 ($3 reduction).'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf3.gskstatic.com/etc/designs/zg/panadol_sb_blue/desktop/css.asset.css/core/design.grid-960-12.grid.1.css'}, {u'type': u'BYTES', u'value': u'6.8KiB'}, {u'type': u'PERCENTAGE', u'value': u'26%'}], u'format': u'Minifying $1 could save $2 ($3 reduction) after compression.'}}]}]",0.6974
MinifyHTML,Minify HTML,"[{u'header': {u'format': u'Compacting HTML code, including any inline JavaScript and CSS contained in it, can save many bytes of data and speed up download and parse times.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/MinifyResources'}, {u'type': u'BYTES', u'value': u'2.8KiB'}, {u'type': u'PERCENTAGE', u'value': u'17%'}], u'format': u'Minify HTML for the following resources to reduce their size by $2 ($3 reduction).'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'http://www.panadol.com.sg/'}, {u'type': u'BYTES', u'value': u'2.2KiB'}, {u'type': u'PERCENTAGE', u'value': u'14%'}], u'format': u'Minifying $1 could save $2 ($3 reduction) after compression.'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://gsk.baycloud.com/CookieQ/cqd?hN=www.panadol.com.sg/&prot=http:&_cqcat=null&hasLS=true&pP=no'}, {u'type': u'BYTES', u'value': u'655B'}, {u'type': u'PERCENTAGE', u'value': u'48%'}], u'format': u'Minifying $1 could save $2 ($3 reduction).'}}]}]",0.2903
MinifyJavaScript,Minify JavaScript,"[{u'header': {u'format': u'Compacting JavaScript code can save many bytes of data and speed up downloading, parsing, and execution time.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/MinifyResources'}, {u'type': u'BYTES', u'value': u'79KiB'}, {u'type': u'PERCENTAGE', u'value': u'37%'}], u'format': u'Minify JavaScript for the following resources to reduce their size by $2 ($3 reduction).'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'https://az417220.vo.msecnd.net/tgnocqcs.js'}, {u'type': u'BYTES', u'value': u'39.9KiB'}, {u'type': u'PERCENTAGE', u'value': u'38%'}], u'format': u'Minifying $1 could save $2 ($3 reduction) after compression.'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'http://gsk.baycloud.com/tggsk.js'}, {u'type': u'BYTES', u'value': u'38.8KiB'}, {u'type': u'PERCENTAGE', u'value': u'37%'}], u'format': u'Minifying $1 could save $2 ($3 reduction) after compression.'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://cookieq.com/cdn/tg.js'}, {u'type': u'BYTES', u'value': u'381B'}, {u'type': u'PERCENTAGE', u'value': u'17%'}], u'format': u'Minifying $1 could save $2 ($3 reduction) after compression.'}}]}]",8.0893
MinimizeRenderBlockingResources,Eliminate render-blocking JavaScript and CSS in above-the-fold content,"[{u'header': {u'args': [{u'type': u'INT_LITERAL', u'value': u'1'}], u'format': u'Your page has $1 blocking CSS resources. This causes a delay in rendering your page.'}}, {u'header': {u'format': u'None of the above-the-fold content on your page could be rendered without waiting for the following resources to load. Try to defer or asynchronously load blocking resources, or inline the critical portions of those resources directly in the HTML.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/OptimizeCSSDelivery'}], u'format': u'Optimize CSS Delivery of the following:'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf3.gskstatic.com/etc/designs/zg/panadol_sb_blue/desktop/css.asset.css/core/design.grid-960-12.grid.0.css'}], u'format': u'$1'}}]}]",10.0
OptimizeImages,Optimize images,"[{u'header': {u'format': u'Properly formatting and compressing images can save many bytes of data.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/OptimizeImages'}, {u'type': u'BYTES', u'value': u'225B'}, {u'type': u'PERCENTAGE', u'value': u'19%'}], u'format': u'Optimize the following images to reduce their size by $2 ($3 reduction).'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf3.gskstatic.com/etc/designs/zg/panadol_sb_blue/desktop/assets/img/Desktop_CarouselDots_GreenActiveDot.png?auto=format'}, {u'type': u'BYTES', u'value': u'225B'}, {u'type': u'PERCENTAGE', u'value': u'19%'}], u'format': u'Compressing $1 could save $2 ($3 reduction).'}}]}]",0.022500000000000003
PrioritizeVisibleContent,Prioritize visible content,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/PrioritizeVisibleContent'}], u'format': u'You have the above-the-fold content properly prioritized. Learn more about prioritizing visible content.'}}]",0.0
