,localizedRuleName,urlBlocks,ruleImpact
AvoidLandingPageRedirects,Avoid landing page redirects,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/AvoidRedirects'}], u'format': u'Your page has no redirects. Learn more about avoiding landing page redirects.'}}]",0.0
EnableGzipCompression,Enable compression,"[{u'header': {u'format': u'Compressing resources with gzip or deflate can reduce the number of bytes sent over the network.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/EnableCompression'}, {u'type': u'BYTES', u'value': u'1.5KiB'}, {u'type': u'PERCENTAGE', u'value': u'49%'}], u'format': u'Enable compression for the following resources to reduce their transfer size by $2 ($3 reduction).'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'https://gsk.baycloud.com/CookieQ/cqd?hN=www.sensodyne.com.au/&prot=https:&_cqcat=null&hasLS=true&pP=no'}, {u'type': u'BYTES', u'value': u'821B'}, {u'type': u'PERCENTAGE', u'value': u'59%'}], u'format': u'Compressing $1 could save $2 ($3 reduction).'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://www.youtube.com/iframe_api'}, {u'type': u'BYTES', u'value': u'368B'}, {u'type': u'PERCENTAGE', u'value': u'43%'}], u'format': u'Compressing $1 could save $2 ($3 reduction).'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://nexus.ensighten.com/gsk/prod/code/cd7bb8e1b2e5655921f55a83a3c563e6.js?conditionId0=455748'}, {u'type': u'BYTES', u'value': u'201B'}, {u'type': u'PERCENTAGE', u'value': u'39%'}], u'format': u'Compressing $1 could save $2 ($3 reduction).'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://nexus.ensighten.com/gsk/prod/serverComponent.php?r=19426.893815398216&ClientID=811&PageID=https%3A%2F%2Fwww.sensodyne.com.au%2F'}, {u'type': u'BYTES', u'value': u'121B'}, {u'type': u'PERCENTAGE', u'value': u'33%'}], u'format': u'Compressing $1 could save $2 ($3 reduction).'}}]}]",0.1511
LeverageBrowserCaching,Leverage browser caching,"[{u'header': {u'format': u'Setting an expiry date or a maximum age in the HTTP headers for static resources instructs the browser to load previously downloaded resources from local disk rather than over the network.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/LeverageBrowserCaching'}], u'format': u'Leverage browser caching for the following cacheable resources:'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'https://static.hotjar.com/c/hotjar-852609.js?sv=6'}, {u'type': u'DURATION', u'value': u'60 seconds'}], u'format': u'$1 ($2)'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://static.hotjar.com/static/vendor/raven-js/3.26.3/raven.min.js'}, {u'type': u'DURATION', u'value': u'60 seconds'}], u'format': u'$1 ($2)'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://nexus.ensighten.com/gsk/Bootstrap.js'}, {u'type': u'DURATION', u'value': u'5 minutes'}], u'format': u'$1 ($2)'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://www.googletagmanager.com/gtag/js?id=AW-938764333'}, {u'type': u'DURATION', u'value': u'15 minutes'}], u'format': u'$1 ($2)'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://www.googleadservices.com/pagead/conversion_async.js'}, {u'type': u'DURATION', u'value': u'60 minutes'}], u'format': u'$1 ($2)'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://www.google-analytics.com/analytics.js'}, {u'type': u'DURATION', u'value': u'2 hours'}], u'format': u'$1 ($2)'}}]}]",2.859722222222222
MainResourceServerResponseTime,Reduce server response time,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/Server'}], u'format': u'Your server responded quickly. Learn more about server response time optimization.'}}]",0.0
MinifyCss,Minify CSS,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/MinifyResources'}], u'format': u'Your CSS is minified. Learn more about minifying CSS.'}}]",0.0
MinifyHTML,Minify HTML,"[{u'header': {u'format': u'Compacting HTML code, including any inline JavaScript and CSS contained in it, can save many bytes of data and speed up download and parse times.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/MinifyResources'}, {u'type': u'BYTES', u'value': u'655B'}, {u'type': u'PERCENTAGE', u'value': u'48%'}], u'format': u'Minify HTML for the following resources to reduce their size by $2 ($3 reduction).'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'https://gsk.baycloud.com/CookieQ/cqd?hN=www.sensodyne.com.au/&prot=https:&_cqcat=null&hasLS=true&pP=no'}, {u'type': u'BYTES', u'value': u'655B'}, {u'type': u'PERCENTAGE', u'value': u'48%'}], u'format': u'Minifying $1 could save $2 ($3 reduction).'}}]}]",0.0655
MinifyJavaScript,Minify JavaScript,"[{u'header': {u'format': u'Compacting JavaScript code can save many bytes of data and speed up downloading, parsing, and execution time.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/MinifyResources'}, {u'type': u'BYTES', u'value': u'158.1KiB'}, {u'type': u'PERCENTAGE', u'value': u'39%'}], u'format': u'Minify JavaScript for the following resources to reduce their size by $2 ($3 reduction).'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'https://code.jquery.com/ui/1.11.4/jquery-ui.js'}, {u'type': u'BYTES', u'value': u'40.1KiB'}, {u'type': u'PERCENTAGE', u'value': u'36%'}], u'format': u'Minifying $1 could save $2 ($3 reduction) after compression.'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://az417220.vo.msecnd.net/tgnocqcs.js'}, {u'type': u'BYTES', u'value': u'39.9KiB'}, {u'type': u'PERCENTAGE', u'value': u'38%'}], u'format': u'Minifying $1 could save $2 ($3 reduction) after compression.'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://code.jquery.com/jquery-1.10.2.js'}, {u'type': u'BYTES', u'value': u'38.9KiB'}, {u'type': u'PERCENTAGE', u'value': u'50%'}], u'format': u'Minifying $1 could save $2 ($3 reduction) after compression.'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://gsk.baycloud.com/tggsk.js'}, {u'type': u'BYTES', u'value': u'38.8KiB'}, {u'type': u'PERCENTAGE', u'value': u'37%'}], u'format': u'Minifying $1 could save $2 ($3 reduction) after compression.'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://cookieq.com/cdn/tg.js'}, {u'type': u'BYTES', u'value': u'381B'}, {u'type': u'PERCENTAGE', u'value': u'17%'}], u'format': u'Minifying $1 could save $2 ($3 reduction) after compression.'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://cdnjs.cloudflare.com/ajax/libs/jqueryui-touch-punch/0.2.2/jquery.ui.touch-punch.min.js'}, {u'type': u'BYTES', u'value': u'116B'}, {u'type': u'PERCENTAGE', u'value': u'20%'}], u'format': u'Minifying $1 could save $2 ($3 reduction) after compression.'}}]}]",16.1921
MinimizeRenderBlockingResources,Eliminate render-blocking JavaScript and CSS in above-the-fold content,"[{u'header': {u'args': [{u'type': u'INT_LITERAL', u'value': u'5'}, {u'type': u'INT_LITERAL', u'value': u'17'}], u'format': u'Your page has $1 blocking script resources and $2 blocking CSS resources. This causes a delay in rendering your page.'}}, {u'header': {u'format': u'None of the above-the-fold content on your page could be rendered without waiting for the following resources to load. Try to defer or asynchronously load blocking resources, or inline the critical portions of those resources directly in the HTML.'}}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/BlockingJS'}], u'format': u'Remove render-blocking JavaScript:'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/js/head/head.js'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://code.jquery.com/jquery-1.10.2.js'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://code.jquery.com/ui/1.11.4/jquery-ui.js'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://cdnjs.cloudflare.com/ajax/libs/jqueryui-touch-punch/0.2.2/jquery.ui.touch-punch.min.js'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://nexus.ensighten.com/gsk/Bootstrap.js'}], u'format': u'$1'}}]}, {u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/OptimizeCSSDelivery'}], u'format': u'Optimize CSS Delivery of the following:'}, u'urls': [{u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.0.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.1.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://fast.fonts.net/t/1.css?apiType=css&projectid=e403f746-2667-4656-9836-a8ce7255b81f'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://fast.fonts.net/cssapi/6d1b60b2-ea4a-45a1-935f-e9bae0f38da2.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://fast.fonts.net/t/1.css?apiType=css&projectid=6d1b60b2-ea4a-45a1-935f-e9bae0f38da2'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.2.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.3.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.4.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.5.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.6.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.7.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.8.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.9.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.10.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.11.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.12.css'}], u'format': u'$1'}}, {u'result': {u'args': [{u'type': u'URL', u'value': u'https://a-cf5.gskstatic.com/etc/designs/zg/sensodyne/desktop/css.asset.css/core/design.grid-960-12.grid.13.css'}], u'format': u'$1'}}]}]",20.0
OptimizeImages,Optimize images,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/OptimizeImages'}], u'format': u'Your images are optimized. Learn more about optimizing images.'}}]",0.0
PrioritizeVisibleContent,Prioritize visible content,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/PrioritizeVisibleContent'}], u'format': u'You have the above-the-fold content properly prioritized. Learn more about prioritizing visible content.'}}]",0.0
